,Unnamed: 0,Country,Country Code,Series,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2020 [YR2020]
0,0,Afghanistan,AFG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
1,1,Afghanistan,AFG,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
2,2,Afghanistan,AFG,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
3,3,Albania,ALB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,377.46105645178,,,394.329333356314,,,,
4,4,Albania,ALB,PISA: Mean performance on the reading scale,LO.PISA.REA,,384.8166023799601,,,393.964251939227,,,,
5,5,Albania,ALB,PISA: Mean performance on the science scale,LO.PISA.SCI,,390.69574552702795,,,397.373213559178,,,,
6,6,Algeria,DZA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
7,7,Algeria,DZA,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
8,8,Algeria,DZA,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
9,9,American Samoa,ASM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
10,10,American Samoa,ASM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
11,11,American Samoa,ASM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
12,12,Andorra,ADO,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
13,13,Andorra,ADO,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
14,14,Andorra,ADO,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
15,15,Angola,AGO,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
16,16,Angola,AGO,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
17,17,Angola,AGO,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
18,18,Antigua and Barbuda,ATG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
19,19,Antigua and Barbuda,ATG,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
20,20,Antigua and Barbuda,ATG,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
21,21,Argentina,ARG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,388.068128318725,,,388.43170990714106,,,,
22,22,Argentina,ARG,PISA: Mean performance on the reading scale,LO.PISA.REA,,398.26087999149695,,,395.97912270216796,,,,
23,23,Argentina,ARG,PISA: Mean performance on the science scale,LO.PISA.SCI,,400.838520183371,,,405.632004985595,,,,
24,24,Armenia,ARM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
25,25,Armenia,ARM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
26,26,Armenia,ARM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
27,27,Aruba,ABW,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
28,28,Aruba,ABW,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
29,29,Aruba,ABW,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
30,30,Australia,AUS,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,514.3404623991902,,,504.150766311123,,,,
31,31,Australia,AUS,PISA: Mean performance on the reading scale,LO.PISA.REA,,514.900655197261,,,511.803997666501,,,,
32,32,Australia,AUS,PISA: Mean performance on the science scale,LO.PISA.SCI,,527.270534026533,,,521.494746315308,,,,
